Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela
14/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
14/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única
14/01/2026,VIN DIESEL,1115,Empresa para empresa,CERVEJARIA,Única
14/01/2026,VIN DIESEL,1115,Associação,MIX CENTER,Única
14/01/2026,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,LANCHERIA LAMBE BEICO,Única
15/01/2026,VIN DIESEL,1115,Transporte,SERVICOSMIRANDA,Única
15/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 80,Única
15/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única
17/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única
17/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única
18/01/2026,VIN DIESEL,1115,Serviços Profissionais,MAGALHAESDOS,Única
18/01/2026,VIN DIESEL,1115,Associação,MIX CENTER,Única
19/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
19/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única
20/01/2026,VIN DIESEL,1115,-,Inclusao de Pagamento    ,Única
20/01/2026,VIN DIESEL,1115,Materiais de construção para casa,WAINDUSTRIADE,Única
22/01/2026,VIN DIESEL,1115,Empresa para empresa,CERVEJARIA,Única
23/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 50,Única
23/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única
26/01/2026,VIN DIESEL,1115,Empresa para empresa,AMAZON MUSIC,Única
27/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 50,Única
30/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única
30/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,REDE MAIS,Única
01/02/2026,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,RECANTO DOS POMARES,Única
01/02/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO DO ALEMAO,Única
03/02/2026,VIN DIESEL,1115,Vestuário / Roupas,TRADIO GACHA,1/2
05/02/2026,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,RESTAURANTE PANELA VEL,Única
05/02/2026,VIN DIESEL,1115,Assistência médica e odontológica,FARMACIA SAO JOAO,Única
05/02/2026,VIN DIESEL,1115,Associação,STOK CENTER 50,Única
