Data de Compra,Nome no Cartão,Final do Cartão,Categoria,Descrição,Parcela,Valor (em R$)
09/10/2025,VIN DIESEL,1115,Relacionados a Automotivo,SIMCAL LOJA,4/4,400.0
11/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,324.29
11/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,11.35
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,2.07
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,59.13
12/12/2025,VIN DIESEL,1115,Associação,STOK CENTER 80,Única,757.9
12/12/2025,VIN DIESEL,1115,Associação,MIX CENTER,Única,410.02
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,244.01
12/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,8.54
13/12/2025,VIN DIESEL,1115,Materiais de construção para casa,SANDRO BENEVENUTO DOS,Única,66.1
13/12/2025,VIN DIESEL,1115,Assistência médica e odontológica,AGROPECUARIA KG,Única,7.5
14/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,417.18
14/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,14.6
16/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,PF CIDADE NOVA,Única,266.74
16/12/2025,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,LONDON BAR E RESTAURAN,Única,187.7
19/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,51.6
19/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,1.81
21/12/2025,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única,26.5
21/12/2025,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTAL,Única,71.88
21/12/2025,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO PORTAL,Única,329.23
21/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,POSTO FORMULA - TIO HU,Única,224.57
21/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,COMERCIO DE COMBUSTIVE,Única,125.53
22/12/2025,VIN DIESEL,1115,-,Inclusao de Pagamento    ,Única,-16722.9
22/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,271.09
22/12/2025,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,9.49
23/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,PF CIDADE NOVA,Única,243.23
26/12/2025,VIN DIESEL,1115,Empresa para empresa,AMAZON MUSIC,Única,34.9
26/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,PF CIDADE NOVA,Única,179.05
30/12/2025,VIN DIESEL,1115,Associação,MIX CENTER,Única,131.83
30/12/2025,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única,230.01
02/01/2026,VIN DIESEL,1115,Associação,MIX CENTER,Única,214.97
02/01/2026,VIN DIESEL,1115,Materiais de construção para casa,SANDRO BENEVENUTO DOS,Única,23.54
02/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO DO ALEMAO,Única,332.91
06/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CASA DE CARNES GOEDEL,Única,144.75
07/01/2026,VIN DIESEL,1115,-,Estorno Tarifa,Única,-98.0
07/01/2026,VIN DIESEL,1115,-,Anuidade Diferenciada,4/12,98.0
08/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única,270.03
08/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 20,Única,32.41
09/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única,55.29
10/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,EVINO,Única,99.6
03/07/2025,VIN DIESEL,1122,Departamento / Desconto,MP *EBAZARCOMBRLTDA,7/12,99.54
05/07/2025,VIN DIESEL,1122,Departamento / Desconto,MP *EBAZARCOMBRLTDA,7/12,133.25
12/07/2025,VIN DIESEL,1122,Departamento / Desconto,MLP*MAGALU-MAGAZINE LU,6/10,317.7
17/07/2025,VIN DIESEL,1122,Especialidade varejo,MERCADOPAGO *IMPERIOA,6/6,53.76
22/09/2025,VIN DIESEL,1122,Casa / Escritório Mobiliário,MERCADO*TRAMADESIGNER,4/12,256.19
22/10/2025,VIN DIESEL,1122,Especialidade varejo,MERCADO*IMPORMUSICA,3/5,231.3
22/10/2025,VIN DIESEL,1122,Especialidade varejo,MERCADOLIVRE*ECOMPATOS,3/3,50.01
30/10/2025,VIN DIESEL,1122,T&E Companhia aérea,UNITED AIRLINES INC,3/5,1258.95
20/11/2025,VIN DIESEL,1122,Marketing Direto,AMAZON BR,2/2,236.5
12/12/2025,VIN DIESEL,1122,Educacional,KIWIFY      *AIMAKERS,Única,125.0
12/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,34.42
12/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.2
14/12/2025,VIN DIESEL,1122,Empresa para empresa,MERCADOLIVRE*BARTI,1/10,195.0
15/12/2025,VIN DIESEL,1122,Empresa para empresa,MERCADOLIVRE*BARTIFIB,Única,230.0
17/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,34.59
17/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.21
21/12/2025,VIN DIESEL,1122,Seguro,ALLIANZ SEGU*08 DE 10,Única,122.03
21/12/2025,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR SA,Única,4.07
21/12/2025,VIN DIESEL,1122,Elétrico,OPENAI *CHATGPT SUBSCR SA,Única,116.36
21/12/2025,VIN DIESEL,1122,Empresa para empresa,SERV. NUVEM INTELBRAS,Única,20.5
23/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,35.03
23/12/2025,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.23
25/12/2025,VIN DIESEL,1122,Relacionados a Automotivo,MERCADOLIVRE*MERCADOL,Única,141.69
25/12/2025,VIN DIESEL,1122,Construção,MERCADOLIVRE*MERCADOL,Única,129.17
25/12/2025,VIN DIESEL,1122,Especialidade varejo,MERCADOLIVRE*MERCADOL,Única,185.15
25/12/2025,VIN DIESEL,1122,Relacionados a Automotivo,MERCADOLIVRE*MERCADOL,Única,49.56
25/12/2025,VIN DIESEL,1122,Consertos em Geral,MERCADOLIVRE*ARTSLUVA,Única,119.9
27/12/2025,VIN DIESEL,1122,Serviços de telecomunicações,MLP*MAGALU-EQUIPOOLS P,Única,59.9
27/12/2025,VIN DIESEL,1122,Limpeza / Lavanderia,MLP*MAGALU-CLICK PISCI,Única,29.94
31/12/2025,VIN DIESEL,1122,Relacionados a Automotivo,MERCADOLIVRE*ROCHEDAO,Única,228.95
01/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,34.86
01/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.22
01/01/2026,VIN DIESEL,1122,-,SHOPEE *AMORCOMPREI,Única,-38.99
01/01/2026,VIN DIESEL,1122,Elétrico,SHOPEE *AMORCOMPREI,Única,77.98
02/01/2026,VIN DIESEL,1122,Empresa para empresa,SHOPEE *GUKANIMEIAS,Única,29.99
05/01/2026,VIN DIESEL,1122,Elétrico,GAMMA.APP              SA,Única,1.47
05/01/2026,VIN DIESEL,1122,Elétrico,GAMMA.APP              SA,Única,42.0
05/01/2026,VIN DIESEL,1122,-,MERCADOLIVRE*ROCHEDAO,Única,-228.95
05/01/2026,VIN DIESEL,1122,Departamento / Desconto,COLOMBO E-CO*76171516,1/10,407.34
06/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,34.38
06/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.2
08/01/2026,VIN DIESEL,1122,Empresa serviços,GOOGLE YOUTUBEPREMIUM,Única,26.9
09/01/2026,VIN DIESEL,1122,Elétrico,"CURSOR, AI POWERED IDE NE",Única,3.97
09/01/2026,VIN DIESEL,1122,Elétrico,"CURSOR, AI POWERED IDE NE",Única,113.36
11/01/2026,VIN DIESEL,1122,Transporte,SHOPEE *AJSIMPORTADOS,Única,56.58
12/01/2026,VIN DIESEL,1122,Educacional,KIWIFY      *AIMAKERS,Única,125.0
12/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,33.97
12/01/2026,VIN DIESEL,1122,Elétrico,OPENAI                 SA,Única,1.19
09/09/2025,CHARLIZE THERON,1153,Associação,SIMBIOSE,5/12,79.9
25/11/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL PRONTOCLINICA,2/2,94.64
01/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,2/2,163.78
04/12/2025,CHARLIZE THERON,1153,Serviços pessoais,ENDILS BELEZA E ES,2/2,200.0
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única,11.97
12/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,1/2,89.99
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,35.98
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,38.58
12/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,30.98
13/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,38.89
13/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADOS COTRIJAL,Única,23.62
15/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,55.18
16/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única,33.89
17/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,96.75
17/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,40.38
17/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,59.95
18/12/2025,CHARLIZE THERON,1153,Especialidade varejo,LOJA POREXEMPLO,Única,10.71
18/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CASA DO CONFEITEIRO,Única,38.42
18/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,BOURBON P. FUNDO,Única,116.11
18/12/2025,CHARLIZE THERON,1153,Associação,STOK CENTER 20,Única,261.08
19/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única,158.76
20/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 09,Única,144.35
22/12/2025,CHARLIZE THERON,1153,Relacionados a Automotivo,POSTOS TRADICAO,Única,10.99
22/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,COMERCIAL DI DOMENICO,Única,158.13
23/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única,44.96
23/12/2025,CHARLIZE THERON,1153,Especialidade varejo,NOVO MUNDO,1/2,67.35
23/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,VANESSA VINDERFELTES P,1/2,225.0
23/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,ZAFFARI 01,Única,25.26
23/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,246.65
24/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única,128.93
24/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,11.98
26/12/2025,CHARLIZE THERON,1153,Assistência médica e odontológica,FARMACIA SAO JOAO,Única,109.8
26/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,100.76
26/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,28.39
26/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,30.57
29/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,11.79
29/12/2025,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,248.1
30/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,111.02
30/12/2025,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,48.93
02/01/2026,CHARLIZE THERON,1153,Vestuário / Roupas,LOJAS RENNER FL 135,1/2,59.95
02/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,DOCE MANIA DISTRIB DE,Única,42.4
05/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,55.94
06/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única,69.02
08/01/2026,CHARLIZE THERON,1153,Assistência médica e odontológica,HOSPITAL DE CLINICAS D,Única,93.96
08/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,25.87
08/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,KR PANIFICADORA,Única,20.04
08/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,MERCADO MOY,Única,42.62
09/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,28.81
09/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,85.22
09/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,CASA DE CARNES GOEDEL,Única,35.91
09/01/2026,CHARLIZE THERON,1153,Supermercados / Mercearia / Padarias / Lojas de Conveniência,S.C.MERCADO,Única,24.86
12/01/2026,CHARLIZE THERON,1153,Associação,MIX CENTER,Única,27.63
15/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,X CAO E CIA,Única,14.0
15/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,ULTRA COFFEE,Única,18.95
15/12/2025,BRIAN TYLER,1114,Transporte,POP 15DEZ 14H05MIN,Única,17.3
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,AVATIM CHEIROS DA TERR,1/2,100.0
15/12/2025,BRIAN TYLER,1114,Serviços pessoais,HNA*OBOTICARIO,1/2,126.09
15/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,15.43
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,15.43
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,4.69
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,8.99
16/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,16.49
18/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,LAS ROSES,Única,12.0
18/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,LAS ROSES,Única,34.0
18/12/2025,BRIAN TYLER,1114,Restaurante / Lanchonete / Bar,LAS ROSES,Única,4.0
18/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,4.49
19/12/2025,BRIAN TYLER,1114,Associação,IFOOD CLUB,Única,7.95
19/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA VENEZA,Única,17.4
19/12/2025,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única,116.36
19/12/2025,BRIAN TYLER,1114,Elétrico,"CURSOR, AI POWERED IDE NE",Única,4.07
22/12/2025,BRIAN TYLER,1114,Transporte,FMIRANDASERVICOS,Única,12.5
23/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,28.47
23/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,4.69
23/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,LEV COMERCIO VAREJISTA,Única,4.29
25/12/2025,BRIAN TYLER,1114,Departamento / Desconto,SHOPEE*LANZARINI E BUS,Única,22.62
26/12/2025,BRIAN TYLER,1114,Entretenimento,PPRO   *MICROSOFT,Única,119.9
29/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,15.94
29/12/2025,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,15.64
29/12/2025,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,5.9
03/01/2026,BRIAN TYLER,1114,Entretenimento,APPLE.COM/BILL,Única,9.9
08/01/2026,BRIAN TYLER,1114,TV por assinatura / Serviços de rádio,EBN         *SPOTIFY,Única,23.9
08/01/2026,BRIAN TYLER,1114,Associação,MIX CENTER,Única,26.98
12/01/2026,BRIAN TYLER,1114,Supermercados / Mercearia / Padarias / Lojas de Conveniência,PADARIA CHICUTA,Única,12.5
12/01/2026,BRIAN TYLER,1114,Vestuário / Roupas,PLAY TENNIS,1/3,53.3
21/07/2025,EVA MENDES,1117,Assistência médica e odontológica,HERMES E VIANNA COMERC,6/10,112.5
07/11/2025,EVA MENDES,1117,Assistência médica e odontológica,OCULAR OFTALMOLOGIA E,3/5,132.0
02/12/2025,EVA MENDES,1117,Empresa para empresa,MLP    *MAGALU-FISCHER,2/2,449.5
03/12/2025,EVA MENDES,1117,Departamento / Desconto,MAG*MAGALU-MAGAZINE LU,2/2,278.42
12/12/2025,EVA MENDES,1117,Serviços pessoais,NH COMERCIO DE COSMETI,Única,8.8
12/12/2025,EVA MENDES,1117,Serviços pessoais,AVATIM CHEIROS DA TERR,1/2,64.0
12/12/2025,EVA MENDES,1117,Vestuário / Roupas,LUPO,Única,80.0
12/12/2025,EVA MENDES,1117,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,6.98
23/12/2025,EVA MENDES,1117,Especialidade varejo,BATH & BODY WORKS 3136 AL,Única,4.58
23/12/2025,EVA MENDES,1117,Especialidade varejo,BATH & BODY WORKS 3136 AL,Única,130.92
05/01/2026,EVA MENDES,1117,Vestuário / Roupas,FAMOUS FOOTWEAR #2349  SC,Única,416.28
05/01/2026,EVA MENDES,1117,Vestuário / Roupas,FAMOUS FOOTWEAR #2349  SC,Única,14.57
07/01/2026,EVA MENDES,1117,TV por assinatura / Serviços de rádio,NETFLIX.COM,Única,20.9
09/01/2026,EVA MENDES,1117,Transporte,UBER *TRIP HELP.UBER.C,Única,254.78
09/01/2026,EVA MENDES,1117,Transporte,UBER *TRIP HELP.UBER.C,Única,8.92
09/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP,Única,274.96
09/01/2026,EVA MENDES,1117,Transporte,UBER   *TRIP,Única,9.62
14/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,14.45
14/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *HEG US INC     40,Única,412.98
14/01/2026,VIN DIESEL,1115,Empresa para empresa,CERVEJARIA,Única,39.0
14/01/2026,VIN DIESEL,1115,Associação,MIX CENTER,Única,27.95
14/01/2026,VIN DIESEL,1115,Restaurante / Lanchonete / Bar,LANCHERIA LAMBE BEICO,Única,38.0
15/01/2026,VIN DIESEL,1115,Transporte,SERVICOSMIRANDA,Única,12.0
15/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 80,Única,150.67
15/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,FRUTEIRA TERRIBILE LTD,Única,24.47
17/01/2026,VIN DIESEL,1115,Supermercados / Mercearia / Padarias / Lojas de Conveniência,SUPERMERCADO REDE MAIS,Única,35.45
17/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única,507.05
18/01/2026,VIN DIESEL,1115,Serviços Profissionais,MAGALHAESDOS,Única,21.0
18/01/2026,VIN DIESEL,1115,Associação,MIX CENTER,Única,34.85
19/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,1.74
19/01/2026,VIN DIESEL,1115,Serviços de telecomunicações,PAYPAL *CONTABO        35,Única,49.6
20/01/2026,VIN DIESEL,1115,-,Inclusao de Pagamento    ,Única,-18713.57
20/01/2026,VIN DIESEL,1115,Materiais de construção para casa,WAINDUSTRIADE,Única,230.0
22/01/2026,VIN DIESEL,1115,Empresa para empresa,CERVEJARIA,Única,51.0
23/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 50,Única,152.35
23/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única,278.03
26/01/2026,VIN DIESEL,1115,Empresa para empresa,AMAZON MUSIC,Única,34.9
27/01/2026,VIN DIESEL,1115,Associação,STOK CENTER 50,Única,547.81
30/01/2026,VIN DIESEL,1115,Relacionados a Automotivo,POSTO LUIZINHO,Única,514.12
